True,sitting,sitting_phone_talking,standing_free,standing_phone_talking,walking_cart,walking_fast,walking_phone,walking_phone_talking,walking_slow,wandering,window_shopping
sitting,98.96907216494846,0.0,0.12202562538133008,0.0,0.8695652173913043,0.9111617312072893,0.0,0.0,0.18382352941176472,0.0,0.0
sitting_phone_talking,0.0572737686139748,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061274509803921566,0.0,0.0
standing_free,0.4009163802978236,0.0,96.03416717510677,3.7037037037037037,2.1739130434782608,0.9111617312072893,1.8518518518518519,4.166666666666667,0.7965686274509803,2.450980392156863,4.0
standing_phone_talking,0.0,0.0,0.18303843807199513,92.5925925925926,0.0,0.0,0.0,0.0,0.30637254901960786,1.4705882352941178,0.0
walking_cart,0.286368843069874,0.0,0.42708968883465526,0.0,80.43478260869566,2.5056947608200457,3.7037037037037037,0.0,0.9803921568627451,0.0,0.0
walking_fast,0.0,0.0,0.42708968883465526,0.0,5.6521739130434785,79.27107061503416,7.407407407407407,4.166666666666667,7.169117647058823,3.4313725490196076,0.0
walking_phone,0.0572737686139748,0.0,0.0,0.0,1.7391304347826086,2.9612756264236904,75.0,2.0833333333333335,0.8578431372549019,1.9607843137254901,0.0
walking_phone_talking,0.0,0.0,0.36607687614399026,0.0,0.0,1.366742596810934,3.7037037037037037,73.95833333333333,1.5931372549019607,3.4313725490196076,0.0
walking_slow,0.1145475372279496,0.0,1.586333129957291,1.8518518518518519,9.130434782608695,11.845102505694761,7.407407407407407,12.5,85.2328431372549,11.764705882352942,0.0
wandering,0.1145475372279496,0.0,0.7321537522879805,1.8518518518518519,0.0,0.22779043280182232,0.9259259259259259,3.125,2.7573529411764706,75.49019607843137,0.0
window_shopping,0.0,0.0,0.12202562538133008,0.0,0.0,0.0,0.0,0.0,0.061274509803921566,0.0,96.0
