True,sitting,sitting_phone_talking,standing_free,standing_phone_talking,walking_cart,walking_fast,walking_phone,walking_phone_talking,walking_slow,wandering,window_shopping
sitting,99.00351699882766,0.0,0.7054673721340388,3.7037037037037037,1.941747572815534,0.3937007874015748,1.0526315789473684,0.0,0.25109855618330196,0.5747126436781609,0.0
sitting_phone_talking,0.23446658851113716,97.82608695652173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
standing_free,0.41031652989449,0.0,94.12110523221634,3.7037037037037037,1.4563106796116505,0.5905511811023622,4.2105263157894735,0.0,2.824858757062147,6.32183908045977,17.94871794871795
standing_phone_talking,0.0,0.0,0.5878894767783657,81.48148148148148,0.0,0.1968503937007874,3.1578947368421053,0.0,0.12554927809165098,0.5747126436781609,0.0
walking_cart,0.05861664712778429,0.0,0.5878894767783657,0.0,76.69902912621359,1.7716535433070866,3.1578947368421053,5.434782608695652,2.0087884494664157,0.0,2.5641025641025643
walking_fast,0.0,0.0,0.29394473838918284,0.0,5.825242718446602,71.06299212598425,7.368421052631579,8.695652173913043,7.595731324544884,1.7241379310344827,0.0
walking_phone,0.11723329425556858,0.0,0.11757789535567313,1.8518518518518519,1.4563106796116505,0.984251968503937,64.21052631578948,3.260869565217391,1.3182674199623352,3.4482758620689653,0.0
walking_phone_talking,0.11723329425556858,0.0,0.23515579071134626,1.8518518518518519,3.883495145631068,1.1811023622047243,3.1578947368421053,68.47826086956522,2.1343377275580666,5.172413793103448,0.0
walking_slow,0.05861664712778429,2.1739130434782608,1.763668430335097,5.555555555555555,6.310679611650485,22.244094488188978,7.368421052631579,10.869565217391305,81.41870684243565,12.64367816091954,0.0
wandering,0.0,0.0,1.4109347442680775,1.8518518518518519,2.4271844660194173,1.3779527559055118,5.2631578947368425,3.260869565217391,2.322661644695543,69.54022988505747,0.0
window_shopping,0.0,0.0,0.1763668430335097,0.0,0.0,0.1968503937007874,1.0526315789473684,0.0,0.0,0.0,79.48717948717949
