True,sitting,sitting_phone_talking,standing,standing_phone_talking,walking,walking_phone_talking,All
sitting,1709,2,13,0,12,3,1739
sitting_phone_talking,2,20,0,0,0,0,22
standing,4,0,1539,7,93,1,1644
standing_phone_talking,0,0,11,43,6,1,61
walking,11,0,83,3,2479,31,2607
walking_phone_talking,0,2,7,1,62,48,120
All,1726,24,1653,54,2652,84,6193
