True,sitting,sitting_phone_talking,standing_free,standing_phone_talking,walking_cart,walking_fast,walking_phone,walking_phone_talking,walking_slow,wandering,window_shopping,All
sitting,14,1,0,1,0,1,0,0,0,0,0,17
sitting_phone_talking,0,18,0,0,0,0,0,1,0,0,0,19
standing_free,0,0,14,1,2,2,0,1,1,3,1,25
standing_phone_talking,1,0,7,10,1,0,1,3,1,0,0,24
walking_cart,0,1,1,2,9,4,1,3,4,0,0,25
walking_fast,2,0,0,0,1,7,2,0,2,0,0,14
walking_phone,0,0,1,0,0,2,11,3,1,0,0,18
walking_phone_talking,1,0,1,1,1,3,2,6,3,1,0,19
walking_slow,1,0,5,0,3,1,1,0,6,1,0,18
wandering,1,0,2,1,0,3,2,2,4,15,0,30
window_shopping,0,0,0,0,0,0,0,0,0,1,26,27
All,20,20,31,16,17,23,20,19,22,21,27,236
