True,sitting,sitting_phone_talking,standing,standing_phone_talking,walking,walking_phone_talking,All
sitting,29,1,0,0,1,2,33
sitting_phone_talking,2,46,0,0,0,0,48
standing,1,1,35,3,6,4,50
standing_phone_talking,1,0,3,44,5,2,55
walking,4,1,5,2,22,8,42
walking_phone_talking,0,0,1,1,4,23,29
All,37,49,44,50,38,39,257
