True,sitting,sitting_phone_talking,standing_free,standing_phone_talking,walking_cart,walking_fast,walking_phone,walking_phone_talking,walking_slow,wandering,window_shopping,All
sitting,1720,1,6,0,5,2,0,0,5,0,0,1739
sitting_phone_talking,1,21,0,0,0,0,0,0,0,0,0,22
standing_free,8,0,1555,7,4,6,1,3,18,10,5,1617
standing_phone_talking,0,0,5,49,1,0,0,2,3,1,0,61
walking_cart,4,0,8,1,177,3,4,1,28,2,0,228
walking_fast,0,0,5,0,8,343,3,17,118,10,0,504
walking_phone,1,0,2,0,1,5,79,5,24,2,0,119
walking_phone_talking,1,0,10,1,5,17,1,66,13,4,2,120
walking_slow,1,0,27,2,34,99,21,17,1294,41,1,1537
wandering,0,0,12,1,1,10,4,7,41,143,0,219
window_shopping,0,0,3,0,0,0,0,0,0,0,24,27
All,1736,22,1633,61,236,485,113,118,1544,213,32,6193
