True,sitting,sitting_phone_talking,standing,standing_phone_talking,walking,walking_phone_talking,All
sitting,19,2,0,0,4,0,25
sitting_phone_talking,0,22,0,0,0,0,22
standing,0,3,10,1,3,4,21
standing_phone_talking,0,0,5,11,3,2,21
walking,3,0,5,5,4,4,21
walking_phone_talking,1,0,6,1,5,6,19
All,23,27,26,18,19,16,129
