True,sitting,sitting_phone_talking,standing,standing_phone_talking,walking,walking_phone_talking
sitting,82.6086956521739,7.407407407407407,0.0,0.0,21.05263157894737,0.0
sitting_phone_talking,0.0,81.48148148148148,0.0,0.0,0.0,0.0
standing,0.0,11.11111111111111,38.46153846153846,5.555555555555555,15.789473684210526,25.0
standing_phone_talking,0.0,0.0,19.23076923076923,61.111111111111114,15.789473684210526,12.5
walking,13.043478260869565,0.0,19.23076923076923,27.77777777777778,21.05263157894737,25.0
walking_phone_talking,4.3478260869565215,0.0,23.076923076923077,5.555555555555555,26.31578947368421,37.5
