True,sitting,sitting_phone_talking,standing_free,standing_phone_talking,walking_cart,walking_fast,walking_phone,walking_phone_talking,walking_slow,wandering,window_shopping,All
sitting,1695,0,9,0,2,1,1,0,7,0,0,1715
sitting_phone_talking,2,46,0,0,0,0,0,0,0,1,0,49
standing_free,10,0,1624,1,5,6,0,5,27,4,1,1683
standing_phone_talking,1,0,2,56,0,0,0,0,0,2,0,61
walking_cart,2,0,8,0,169,10,0,2,26,2,0,219
walking_fast,1,0,5,1,10,401,3,3,89,4,0,517
walking_phone,2,0,2,2,3,3,67,2,18,5,0,104
walking_phone_talking,0,0,4,3,4,10,5,80,18,6,0,130
walking_slow,2,0,26,1,23,80,9,10,1320,26,0,1497
wandering,1,0,15,3,1,7,3,4,29,140,0,203
window_shopping,0,0,3,0,1,1,0,0,0,0,31,36
All,1716,46,1698,67,218,519,88,106,1534,190,32,6214
