True,sitting,sitting_phone_talking,standing_free,standing_phone_talking,walking_cart,walking_fast,walking_phone,walking_phone_talking,walking_slow,wandering,window_shopping
sitting,100.0,0.0,0.0,0.0,14.285714285714286,0.0,4.3478260869565215,0.0,0.0,0.0,0.0
sitting_phone_talking,0.0,86.36363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
standing_free,0.0,0.0,61.904761904761905,8.0,4.761904761904762,9.090909090909092,0.0,5.882352941176471,8.695652173913043,13.636363636363637,3.7037037037037037
standing_phone_talking,0.0,0.0,9.523809523809524,60.0,4.761904761904762,9.090909090909092,4.3478260869565215,0.0,13.043478260869565,0.0,0.0
walking_cart,0.0,4.545454545454546,0.0,20.0,52.38095238095238,9.090909090909092,4.3478260869565215,11.764705882352942,0.0,13.636363636363637,0.0
walking_fast,0.0,0.0,0.0,0.0,9.523809523809524,18.181818181818183,4.3478260869565215,5.882352941176471,4.3478260869565215,22.727272727272727,0.0
walking_phone,0.0,4.545454545454546,0.0,0.0,0.0,4.545454545454546,52.17391304347826,17.647058823529413,4.3478260869565215,0.0,0.0
walking_phone_talking,0.0,0.0,4.761904761904762,0.0,4.761904761904762,13.636363636363637,13.043478260869565,41.1764705882353,8.695652173913043,4.545454545454546,3.7037037037037037
walking_slow,0.0,0.0,9.523809523809524,0.0,4.761904761904762,27.272727272727273,4.3478260869565215,0.0,30.434782608695652,4.545454545454546,0.0
wandering,0.0,4.545454545454546,14.285714285714286,12.0,4.761904761904762,9.090909090909092,13.043478260869565,11.764705882352942,30.434782608695652,36.36363636363637,0.0
window_shopping,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.882352941176471,0.0,4.545454545454546,92.5925925925926
