True,sitting,sitting_phone_talking,standing_free,standing_phone_talking,walking_cart,walking_fast,walking_phone,walking_phone_talking,walking_slow,wandering,window_shopping
sitting,94.44444444444444,2.7777777777777777,0.0,0.0,8.823529411764707,0.0,4.545454545454546,2.857142857142857,3.0303030303030303,0.0,0.0
sitting_phone_talking,0.0,97.22222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
standing_free,0.0,0.0,56.0,10.0,2.9411764705882355,6.122448979591836,4.545454545454546,5.714285714285714,6.0606060606060606,0.0,6.0606060606060606
standing_phone_talking,0.0,0.0,12.0,77.5,0.0,0.0,0.0,0.0,3.0303030303030303,3.125,0.0
walking_cart,5.555555555555555,0.0,8.0,2.5,55.88235294117647,8.16326530612245,11.363636363636363,14.285714285714286,9.090909090909092,0.0,0.0
walking_fast,0.0,0.0,4.0,0.0,2.9411764705882355,26.53061224489796,4.545454545454546,17.142857142857142,30.303030303030305,18.75,0.0
walking_phone,0.0,0.0,0.0,0.0,5.882352941176471,6.122448979591836,52.27272727272727,0.0,3.0303030303030303,3.125,0.0
walking_phone_talking,0.0,0.0,8.0,7.5,5.882352941176471,6.122448979591836,6.818181818181818,51.42857142857143,6.0606060606060606,9.375,0.0
walking_slow,0.0,0.0,4.0,2.5,14.705882352941176,32.6530612244898,6.818181818181818,5.714285714285714,15.151515151515152,9.375,0.0
wandering,0.0,0.0,8.0,0.0,2.9411764705882355,14.285714285714286,9.090909090909092,2.857142857142857,21.21212121212121,56.25,0.0
window_shopping,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0303030303030303,0.0,93.93939393939394
