True,sitting,sitting_phone_talking,standing_free,standing_phone_talking,walking_cart,walking_fast,walking_phone,walking_phone_talking,walking_slow,wandering,window_shopping,All
sitting,17,1,0,0,3,0,2,1,1,0,0,25
sitting_phone_talking,0,35,0,0,0,0,0,0,0,0,0,35
standing_free,0,0,14,4,1,3,2,2,2,0,2,30
standing_phone_talking,0,0,3,31,0,0,0,0,1,1,0,36
walking_cart,1,0,2,1,19,4,5,5,3,0,0,40
walking_fast,0,0,1,0,1,13,2,6,10,6,0,39
walking_phone,0,0,0,0,2,3,23,0,1,1,0,30
walking_phone_talking,0,0,2,3,2,3,3,18,2,3,0,36
walking_slow,0,0,1,1,5,16,3,2,5,3,0,36
wandering,0,0,2,0,1,7,4,1,7,18,0,40
window_shopping,0,0,0,0,0,0,0,0,1,0,31,32
All,18,36,25,40,34,49,44,35,33,32,33,379
